#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    9.0173945382e-23   -2.2030384485e-22
   0.2500000000    8.4511697831e-23   -1.8988142953e-22
   0.5000000000    8.1802724155e-23   -1.7435923622e-22
   0.7500000000    8.4028822445e-23   -1.8768953709e-22
   1.0000000000    8.0840799175e-23   -1.8105096476e-22
   1.2500000000    1.0249664335e-22   -1.6776548141e-22
   1.5000000000    9.1220741825e-23   -1.7337772631e-22
   1.7500000000    9.3160350663e-23   -1.6662768365e-22
   2.0000000000    6.6951324364e-23   -1.7408971900e-22
   2.2500000000    8.2994213085e-23   -1.7738726478e-22
   2.5000000000    7.6742862181e-23   -1.7242395871e-22
   2.7500000000    9.6014257145e-23   -1.6695053104e-22
   3.0000000000    7.6777444334e-23   -1.8596128738e-22
   3.2500000000    9.3463767762e-23   -1.7341576552e-22
   3.5000000000    9.3132204473e-23   -1.5547455735e-22
   3.7500000000    8.2637720277e-23   -1.7361623227e-22
   4.0000000000    7.6582743536e-23   -1.7919775941e-22
   4.2500000000    6.7350465915e-23   -1.4474384764e-22
   4.5000000000    8.9416851827e-23   -1.7952532932e-22
   4.7500000000    7.0188876873e-23   -1.7049180095e-22
   5.0000000000    7.9768346380e-23   -1.7230074365e-22
   5.2500000000    8.9900833744e-23   -1.6681961419e-22
   5.5000000000    9.4047484118e-23   -1.6004758964e-22
   5.7500000000    8.3936069195e-23   -1.6787782926e-22
   6.0000000000    8.6253243321e-23   -1.7253869622e-22
   6.2500000000    1.0119530530e-22   -1.7465177184e-22
   6.5000000000    8.9933606168e-23   -1.7950302483e-22
   6.7500000000    7.9862366545e-23   -1.5278087306e-22
   7.0000000000    9.1557582783e-23   -1.7840739370e-22
   7.2500000000    1.0760362461e-22   -1.4239123596e-22
   7.5000000000    7.6051344506e-23   -1.6358690373e-22
   7.7500000000    8.0079508268e-23   -1.5684069029e-22
   8.0000000000    6.9828563207e-23   -1.6894742912e-22
