#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    1.6329443851e-22   -3.5063566261e-22
   0.2500000000    1.5839301997e-22   -3.7064786380e-22
   0.5000000000    1.6519138029e-22   -3.4806973177e-22
   0.7500000000    1.5847682783e-22   -3.6160006985e-22
   1.0000000000    1.5345610016e-22   -3.5845725632e-22
   1.2500000000    1.7422421773e-22   -3.4948475353e-22
   1.5000000000    1.6283897727e-22   -3.2323304860e-22
   1.7500000000    1.7266259112e-22   -3.1270650625e-22
   2.0000000000    1.6999493692e-22   -3.5480907425e-22
   2.2500000000    1.5183819754e-22   -3.7066859567e-22
   2.5000000000    1.7254167294e-22   -3.3989800800e-22
   2.7500000000    1.7962545954e-22   -3.4344806152e-22
   3.0000000000    1.5594658399e-22   -3.5840293614e-22
   3.2500000000    1.5321563418e-22   -3.3792296102e-22
   3.5000000000    1.6023795267e-22   -3.3170328372e-22
   3.7500000000    1.6528725133e-22   -3.5491225445e-22
   4.0000000000    1.6810446622e-22   -3.3163777534e-22
   4.2500000000    1.6740249619e-22   -3.2781821154e-22
   4.5000000000    1.7690907081e-22   -3.4269390592e-22
   4.7500000000    1.5753210982e-22   -3.5779139141e-22
   5.0000000000    1.6344959673e-22   -3.5498258888e-22
   5.2500000000    1.6566858253e-22   -3.0645129065e-22
   5.5000000000    1.6870018182e-22   -3.2200209865e-22
   5.7500000000    1.4720715572e-22   -3.2428855463e-22
   6.0000000000    1.5633063211e-22   -3.4045608349e-22
   6.2500000000    1.5756668831e-22   -3.3421044179e-22
   6.5000000000    1.5779879265e-22   -3.3655756181e-22
   6.7500000000    1.5783472279e-22   -3.3497324338e-22
   7.0000000000    1.6680949688e-22   -3.1190573391e-22
   7.2500000000    1.4846647654e-22   -3.3029669398e-22
   7.5000000000    1.6070315571e-22   -3.1178967534e-22
   7.7500000000    1.7934351104e-22   -3.1852466666e-22
   8.0000000000    1.4370879283e-22   -3.3924354295e-22
   8.2500000000    1.7653139003e-22   -3.1951549282e-22
   8.5000000000    1.5492532457e-22   -3.2682095774e-22
   8.7500000000    1.4394577473e-22   -3.3335121479e-22
   9.0000000000    1.6008782257e-22   -3.3985949232e-22
   9.2500000000    1.5889594808e-22   -3.0504375734e-22
   9.5000000000    1.5738696239e-22   -3.2980003234e-22
   9.7500000000    1.6274119113e-22   -3.2953850411e-22
  10.0000000000    1.5142448191e-22   -3.4113155899e-22
  10.2500000000    1.6834459912e-22   -3.0845856629e-22
  10.5000000000    1.7037692109e-22   -3.2108641599e-22
  10.7500000000    1.3939711751e-22   -3.2237142934e-22
  11.0000000000    1.6697539459e-22   -3.2181440440e-22
  11.2500000000    1.4464126970e-22   -3.2367125339e-22
  11.5000000000    1.5320686500e-22   -3.0917797231e-22
  11.7500000000    1.5247841277e-22   -3.0775902661e-22
