#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    4.5555765578e-23   -8.6897648479e-23
   0.2500000000    4.2086438872e-23   -9.4626704649e-23
   0.5000000000    4.6471465002e-23   -1.0068310913e-22
   0.7500000000    4.4735230122e-23   -9.1061341301e-23
   1.0000000000    4.3245053699e-23   -9.4149817144e-23
   1.2500000000    4.9403397669e-23   -9.3059576948e-23
   1.5000000000    4.4606786228e-23   -8.8276590014e-23
   1.7500000000    4.7902856505e-23   -8.7546983090e-23
   2.0000000000    4.3082783540e-23   -8.9327783421e-23
   2.2500000000    4.3077885701e-23   -9.3621525300e-23
   2.5000000000    4.7517908689e-23   -9.3783621370e-23
   2.7500000000    4.4501471249e-23   -9.3779965554e-23
   3.0000000000    4.3949795303e-23   -8.7587414663e-23
   3.2500000000    4.8387587131e-23   -8.9984672165e-23
   3.5000000000    4.1713022942e-23   -8.6332368952e-23
   3.7500000000    3.9666160429e-23   -9.1115481254e-23
   4.0000000000    4.2757685297e-23   -8.8525665381e-23
   4.2500000000    4.4351111571e-23   -8.6451790493e-23
   4.5000000000    4.2153860646e-23   -8.7164816024e-23
   4.7500000000    3.6000275692e-23   -8.6210367348e-23
   5.0000000000    3.6337018719e-23   -7.9482756437e-23
   5.2500000000    3.7873929972e-23   -8.0025608320e-23
   5.5000000000    3.9849377879e-23   -8.0688278785e-23
   5.7500000000    3.7884364198e-23   -8.7299277694e-23
   6.0000000000    4.0516082258e-23   -7.7808661152e-23
   6.2500000000    3.9822735443e-23   -8.0088446392e-23
   6.5000000000    4.2684190975e-23   -8.8114937320e-23
   6.7500000000    4.1929103575e-23   -7.5693839218e-23
   7.0000000000    4.2131674997e-23   -8.1840107897e-23
   7.2500000000    3.4397806266e-23   -8.5464364744e-23
   7.5000000000    3.5951305110e-23   -8.7573830767e-23
   7.7500000000    3.9667018882e-23   -8.1929530022e-23
   8.0000000000    3.2394667424e-23   -8.3442920654e-23
   8.2500000000    3.7144686867e-23   -8.0244740147e-23
   8.5000000000    3.5357893903e-23   -8.0273292907e-23
   8.7500000000    3.2750805707e-23   -7.7464046658e-23
   9.0000000000    3.5842066332e-23   -7.1208557078e-23
   9.2500000000    3.5820462513e-23   -6.8797297152e-23
   9.5000000000    3.0522959198e-23   -7.9031181144e-23
   9.7500000000    3.4006630639e-23   -8.4188022503e-23
  10.0000000000    3.4172541448e-23   -7.9353546413e-23
  10.2500000000    3.1984989969e-23   -8.2842674284e-23
  10.5000000000    3.4186311137e-23   -7.8053583317e-23
  10.7500000000    3.4483431819e-23   -8.5475415569e-23
  11.0000000000    3.5409906620e-23   -8.0313128083e-23
  11.2500000000    3.8193075465e-23   -7.4770761139e-23
  11.5000000000    3.1376050664e-23   -7.3977499766e-23
  11.7500000000    4.1414149115e-23   -7.5961582460e-23
  12.0000000000    3.6431504314e-23   -7.0155704584e-23
  12.2500000000    3.5395579572e-23   -7.2357664556e-23
  12.5000000000    3.1370212604e-23   -7.3694455011e-23
  12.7500000000    3.2539705327e-23   -7.5121700455e-23
  13.0000000000    3.5972846019e-23   -6.4927806360e-23
  13.2500000000    3.1844045535e-23   -6.8036566210e-23
  13.5000000000    3.1368446721e-23   -6.0755712248e-23
  13.7500000000    3.2757968872e-23   -6.7637167271e-23
  14.0000000000    3.3519011667e-23   -6.4584400143e-23
  14.2500000000    3.0440795019e-23   -6.6779991775e-23
  14.5000000000    3.5683192963e-23   -7.1224009467e-23
  14.7500000000    3.6144394066e-23   -6.9455343078e-23
  15.0000000000    2.9121568018e-23   -6.7594436487e-23
  15.2500000000    3.0657806210e-23   -6.1900132137e-23
  15.5000000000    3.6961356787e-23   -6.5404398704e-23
  15.7500000000    3.3306316212e-23   -6.5845237364e-23
  16.0000000000    3.0710937982e-23   -6.8271299883e-23
  16.2500000000    2.8238874507e-23   -6.3235959418e-23
  16.5000000000    3.1252230857e-23   -6.1875075454e-23
  16.7500000000    2.8920772256e-23   -6.8315304766e-23
  17.0000000000    3.3082074785e-23   -6.5836309080e-23
  17.2500000000    3.3782558447e-23   -6.3084382700e-23
  17.5000000000    3.3506147446e-23   -5.8997597843e-23
  17.7500000000    3.2237217582e-23   -6.3479550152e-23
  18.0000000000    3.0635941012e-23   -6.3893045349e-23
  18.2500000000    2.8125888320e-23   -6.5780526846e-23
  18.5000000000    2.9695222449e-23   -6.0558978043e-23
  18.7500000000    2.5951144780e-23   -6.0377569549e-23
  19.0000000000    3.0766306576e-23   -5.8568223633e-23
  19.2500000000    2.6093465635e-23   -6.3625622866e-23
  19.5000000000    2.3164109320e-23   -5.8809116158e-23
  19.7500000000    2.4914935443e-23   -6.2572367163e-23
  20.0000000000    2.6750610610e-23   -5.5819267232e-23
  20.2500000000    2.7589873635e-23   -5.6780512994e-23
  20.5000000000    2.9264357340e-23   -5.9115744505e-23
  20.7500000000    2.7879101230e-23   -5.6241744394e-23
  21.0000000000    2.7720971275e-23   -5.7237054960e-23
  21.2500000000    2.4487529993e-23   -5.8489329354e-23
  21.5000000000    2.8501275669e-23   -6.0925394187e-23
  21.7500000000    2.6381164683e-23   -5.8531971231e-23
  22.0000000000    2.4291088855e-23   -5.2474214446e-23
