#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    8.8180729273e-24   -3.1204405376e-23
   0.2500000000    1.5856866055e-23   -5.3395505631e-24
   0.5000000000    1.6367519490e-23    3.7857524013e-23
   0.7500000000    5.2303734097e-23   -1.1971841924e-23
   1.0000000000    1.5961404942e-23   -2.5937482614e-23
   1.2500000000    1.5339381988e-23    1.4609656575e-23
   1.5000000000   -4.7335077667e-24    6.8864969460e-24
   1.7500000000    2.0508174234e-23    1.9071443685e-24
   2.0000000000    5.5241954438e-23   -6.0066510969e-24
   2.2500000000    2.3320393495e-23    1.6161068964e-23
   2.5000000000    2.9281571114e-23    2.3713715226e-23
   2.7500000000   -7.5586008501e-24   -1.0932327328e-23
   3.0000000000    3.5393197646e-23   -1.2964054948e-23
   3.2500000000    4.4945553473e-23   -4.9243708147e-23
   3.5000000000    3.7424134771e-24    1.0220532627e-23
   3.7500000000    6.1702297624e-23   -3.8584528627e-23
   4.0000000000    3.4436702817e-23    8.4813971567e-24
   4.2500000000    1.6650002988e-23   -1.2984460307e-25
   4.5000000000    4.3527917507e-23   -4.8026720982e-24
   4.7500000000    4.1677037405e-23   -1.5541635642e-23
   5.0000000000    2.9494923891e-23    3.4922497433e-23
   5.2500000000    9.7921976497e-24   -6.8844016817e-24
   5.5000000000    4.9927942382e-23   -5.5371998248e-23
   5.7500000000    2.9714258497e-23   -1.8166936660e-23
   6.0000000000    4.7376529226e-23   -4.0877275149e-23
   6.2500000000    5.5561475253e-23   -2.3064706443e-24
   6.5000000000    2.9060437629e-23    1.6667919264e-24
   6.7500000000    4.1446710104e-23    1.1080933555e-23
   7.0000000000    4.3058601755e-23   -1.2268196259e-23
   7.2500000000    3.3974287115e-23   -2.1494300010e-23
   7.5000000000    2.3120556488e-23   -1.2580696545e-23
   7.7500000000    3.7027736311e-23   -1.5980249227e-23
   8.0000000000    7.1298210557e-24   -2.0896505851e-24
