#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    7.5437009220e-23    1.9504873953e-23
   0.2500000000    5.3090681047e-23   -2.3493039434e-23
   0.5000000000    6.6960091028e-23   -2.8277378606e-23
   0.7500000000    1.0623457611e-22   -1.9759536590e-23
   1.0000000000    7.7886531146e-23   -1.5086125865e-23
   1.2500000000    4.6762952509e-23   -1.4759194733e-23
   1.5000000000    5.1152212657e-23   -2.3015708540e-23
   1.7500000000    8.4341441247e-23    1.5492255745e-23
   2.0000000000    6.4301954081e-23    6.7234416474e-24
   2.2500000000    6.3900892079e-23   -3.9198860144e-24
   2.5000000000    3.2550845482e-23   -3.1372675239e-23
   2.7500000000    5.5164169594e-23   -3.3937195142e-23
   3.0000000000    3.5985739759e-23   -4.6435554626e-23
   3.2500000000    5.0847227619e-23   -2.0281273292e-23
   3.5000000000    3.6717538206e-23   -3.4039500055e-23
   3.7500000000    3.9321850182e-23   -3.1343972335e-23
   4.0000000000    5.3264280046e-23   -8.5189230581e-23
   4.2500000000    3.9554803386e-23   -7.1988620631e-23
   4.5000000000    7.0809965500e-23   -3.0785297152e-24
   4.7500000000    4.7302703338e-23    4.0498535393e-23
   5.0000000000    7.5067237830e-23   -4.7252046830e-23
   5.2500000000    7.0833031836e-23   -1.5728212694e-23
   5.5000000000    9.8001948521e-24    4.5145255484e-23
   5.7500000000    9.4704017471e-23   -1.1684682269e-23
   6.0000000000    5.0425634701e-23   -5.0506532001e-23
   6.2500000000    5.9600360496e-23   -3.0700664178e-23
   6.5000000000    6.6375837331e-23   -1.9917776788e-23
   6.7500000000    7.0503714958e-23   -7.4691858800e-23
   7.0000000000    4.2246091124e-23    7.4406644919e-24
   7.2500000000    8.3875447846e-23    3.3609147667e-23
   7.5000000000    7.9423091170e-23   -1.2780892581e-24
   7.7500000000    7.9422439834e-23   -3.1852692961e-23
   8.0000000000    7.4082954907e-23   -9.8227096912e-24
   8.2500000000    7.2944595720e-23   -3.3398584716e-23
   8.5000000000    4.3960354647e-23   -6.1116608232e-23
   8.7500000000    4.3372550760e-23    1.3919356090e-23
   9.0000000000    5.3046578759e-23   -5.2742343795e-23
   9.2500000000    7.3833393932e-23   -5.0825406029e-24
   9.5000000000    6.3755087676e-23   -3.7555418812e-23
   9.7500000000    6.3444179377e-23   -3.2310130412e-23
  10.0000000000    4.8428539550e-23   -2.3676089361e-23
  10.2500000000    7.0758010786e-23   -3.5636873305e-23
  10.5000000000   -5.4651724098e-24    1.6281855344e-24
  10.7500000000    8.3221036488e-23    1.1876378219e-23
  11.0000000000    7.5226305024e-23   -6.8884179490e-23
  11.2500000000    5.3138538400e-23   -2.5846057159e-23
  11.5000000000    2.9584127409e-23    2.6095780879e-23
  11.7500000000    4.3195411445e-23   -3.6627372234e-23
  12.0000000000    4.5565691885e-23    1.1008497641e-23
  12.2500000000    5.5865968319e-23   -1.2124665020e-23
  12.5000000000    7.7335840395e-23   -1.1192711975e-23
  12.7500000000    5.9657333418e-23   -2.3068353839e-23
  13.0000000000    6.1632048695e-23   -6.2240402728e-24
  13.2500000000    3.6660080820e-23   -4.0182127673e-23
  13.5000000000    8.1215509124e-23    1.0004979167e-23
  13.7500000000    5.7044665509e-23   -4.6065764190e-23
  14.0000000000    3.1070838130e-23   -9.5637290602e-24
  14.2500000000    5.3743454511e-23   -2.3272628773e-23
  14.5000000000    4.7910781243e-23   -3.7969821675e-23
  14.7500000000    6.9099794168e-23   -7.5628427482e-23
  15.0000000000    6.1709415524e-23   -4.8100761418e-23
  15.2500000000    5.1762791000e-23   -1.4670317361e-23
  15.5000000000    5.6872220912e-23    7.8327980966e-25
  15.7500000000    3.9766413975e-23   -1.8252975716e-23
  16.0000000000    4.1089186763e-23   -5.0979640453e-24
  16.2500000000    5.1878809763e-23    1.1831984149e-26
  16.5000000000    2.8737548442e-23   -3.6128531504e-23
  16.7500000000    9.1620842555e-23   -6.3678889318e-23
  17.0000000000    6.6226205459e-23   -1.5049413507e-23
  17.2500000000    3.6770210050e-23   -5.7199478686e-23
  17.5000000000    5.6006872608e-23   -6.2767941199e-23
  17.7500000000    4.5971533588e-23   -3.5121268907e-23
  18.0000000000    7.0600230732e-23   -3.3260183974e-24
  18.2500000000    4.5461135474e-23   -3.7725152096e-23
  18.5000000000    4.9017188868e-23   -4.8889431884e-24
  18.7500000000    4.3760814126e-23    4.9283596986e-24
  19.0000000000    6.1906663188e-23   -5.8106070195e-23
  19.2500000000    3.4283379865e-23   -1.0900650480e-23
  19.5000000000    3.4213040483e-23   -5.6894877797e-24
  19.7500000000    3.4892876248e-23   -8.5096494113e-24
  20.0000000000    4.7447366328e-23    2.2622373928e-23
  20.2500000000    4.9005508104e-23   -1.2865419771e-23
  20.5000000000    5.6098480998e-23   -4.4518035627e-23
  20.7500000000    7.5332280608e-23    2.5034178528e-24
  21.0000000000    4.1944681341e-23   -2.2326114801e-23
  21.2500000000    5.5266172676e-23   -7.3080376043e-23
  21.5000000000    6.0737083500e-23    2.0383701351e-23
  21.7500000000    4.0793205953e-23   -6.4817865325e-23
  22.0000000000    4.4737496430e-23   -2.0517961596e-23
  22.2500000000    5.8276655200e-23   -4.3711648924e-23
  22.5000000000    3.2686358514e-23   -3.7898789884e-23
  22.7500000000    4.5326434512e-23   -3.4086591322e-23
  23.0000000000    4.6627075701e-23   -5.2502489871e-23
  23.2500000000    4.9354314192e-23    4.8156627509e-24
  23.5000000000    3.0223953574e-23   -4.2073155661e-23
  23.7500000000    4.5100590050e-23   -3.2073923046e-23
  24.0000000000    4.2604658159e-23   -1.0631349062e-23
  24.2500000000    3.8886809014e-23   -1.6250067945e-23
  24.5000000000    7.2697813723e-23   -1.5949495212e-23
  24.7500000000    3.8487690414e-23    1.8097128328e-23
  25.0000000000    9.5969155645e-23   -1.7067075865e-23
  25.2500000000    5.6985892297e-23   -3.4772218263e-23
  25.5000000000    4.8641108456e-23   -3.5124245968e-23
  25.7500000000    3.4280458247e-23   -1.0509625472e-23
  26.0000000000    2.3307702248e-23   -3.6076616533e-23
  26.2500000000    4.2644598080e-23    4.9885156317e-23
  26.5000000000    4.4770643175e-23   -2.4257891178e-23
  26.7500000000    5.3237385947e-23    5.7678662807e-25
  27.0000000000    2.6914395063e-23   -1.8489175287e-23
  27.2500000000    4.8895435067e-23   -8.7631052057e-24
  27.5000000000    5.7951560835e-23   -4.3651755792e-23
  27.7500000000    2.7671678958e-23   -5.0200612565e-23
  28.0000000000    5.0367242354e-23    1.6638084119e-24
  28.2500000000    4.1275061780e-23   -4.3884121557e-24
  28.5000000000    3.7844877437e-23   -1.6041328402e-23
  28.7500000000    2.8443179084e-23   -1.1863061335e-24
  29.0000000000    5.2928243130e-23   -4.0226917453e-23
