#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000   -5.1965189405e-23   -9.5239683252e-23
   0.2500000000   -4.9074759318e-23   -9.3704594513e-23
   0.5000000000   -5.3195106093e-23   -1.0543913838e-22
   0.7500000000   -5.7119460697e-23   -9.3927898936e-23
   1.0000000000   -4.9444211253e-23   -8.8131956574e-23
   1.2500000000   -4.6713076860e-23   -9.6061263636e-23
   1.5000000000   -5.1370107799e-23   -9.3204390945e-23
   1.7500000000   -4.6929206833e-23   -8.9903272961e-23
   2.0000000000   -5.0206362115e-23   -9.4641553794e-23
   2.2500000000   -5.4093658534e-23   -8.6425095141e-23
   2.5000000000   -4.5173903094e-23   -8.6476242380e-23
   2.7500000000   -4.9222448642e-23   -9.3676606636e-23
   3.0000000000   -4.7164631964e-23   -9.0002800659e-23
   3.2500000000   -4.8561748951e-23   -8.8341954158e-23
   3.5000000000   -4.5567968211e-23   -8.8949804456e-23
   3.7500000000   -4.5560747658e-23   -8.6830510012e-23
   4.0000000000   -4.2914676885e-23   -8.6776717892e-23
   4.2500000000   -4.6688821062e-23   -8.5521606802e-23
   4.5000000000   -3.8596191850e-23   -8.0666062096e-23
   4.7500000000   -4.3961462319e-23   -8.4470005387e-23
   5.0000000000   -4.4646817590e-23   -8.3924395824e-23
   5.2500000000   -4.6935521186e-23   -8.3524938924e-23
   5.5000000000   -4.4017080390e-23   -8.4604875361e-23
   5.7500000000   -4.1336866697e-23   -8.4120950818e-23
   6.0000000000   -3.8632848193e-23   -8.2987720436e-23
   6.2500000000   -4.0392305067e-23   -8.1773521161e-23
   6.5000000000   -4.3035357076e-23   -8.3611530491e-23
   6.7500000000   -4.3485362796e-23   -8.2716597605e-23
   7.0000000000   -4.2191659995e-23   -8.6691353463e-23
   7.2500000000   -3.8938343746e-23   -8.5324139447e-23
   7.5000000000   -4.3804806598e-23   -8.0312282048e-23
   7.7500000000   -4.3577553276e-23   -8.0314648287e-23
   8.0000000000   -4.2327319102e-23   -7.7802774241e-23
   8.2500000000   -4.0970888584e-23   -8.3495439073e-23
   8.5000000000   -4.0693033459e-23   -8.5234266250e-23
   8.7500000000   -4.1898750425e-23   -8.0550812166e-23
   9.0000000000   -3.7567626430e-23   -8.1817621432e-23
   9.2500000000   -3.6392297851e-23   -8.4277293472e-23
   9.5000000000   -3.8340005906e-23   -8.0058101038e-23
   9.7500000000   -3.2001682059e-23   -7.6502668872e-23
  10.0000000000   -3.9231307418e-23   -7.5479581155e-23
  10.2500000000   -3.8816042528e-23   -7.6829403256e-23
  10.5000000000   -3.8756085969e-23   -7.7556995443e-23
  10.7500000000   -3.8778806467e-23   -7.7940992435e-23
  11.0000000000   -3.5977247520e-23   -7.2002560551e-23
  11.2500000000   -3.6609848819e-23   -6.9249114582e-23
  11.5000000000   -3.7529238845e-23   -7.6524006274e-23
  11.7500000000   -3.8357232500e-23   -8.0906542751e-23
  12.0000000000   -3.9483083394e-23   -7.4729786369e-23
  12.2500000000   -3.6021678741e-23   -7.6017512068e-23
  12.5000000000   -3.7429786798e-23   -7.2287597084e-23
  12.7500000000   -3.6949866145e-23   -7.4692650614e-23
  13.0000000000   -3.8432695491e-23   -7.4856414231e-23
  13.2500000000   -3.3495654366e-23   -5.9814251903e-23
  13.5000000000   -3.6191460548e-23   -6.2944667307e-23
  13.7500000000   -3.2747983471e-23   -6.6296655756e-23
  14.0000000000   -3.7424140412e-23   -6.8245678391e-23
  14.2500000000   -3.6020202299e-23   -6.8103923604e-23
  14.5000000000   -3.4017901156e-23   -6.5325919336e-23
  14.7500000000   -3.7381151518e-23   -6.4394631544e-23
  15.0000000000   -3.5948473721e-23   -7.2402162153e-23
  15.2500000000   -3.1406221478e-23   -6.8142857673e-23
  15.5000000000   -3.6015589380e-23   -6.5118415181e-23
  15.7500000000   -3.5711879224e-23   -6.7390423427e-23
  16.0000000000   -3.5390540717e-23   -5.8013251584e-23
  16.2500000000   -3.1492765321e-23   -6.8520086492e-23
  16.5000000000   -3.5239353613e-23   -6.4071684069e-23
  16.7500000000   -3.4518959272e-23   -6.5519571884e-23
  17.0000000000   -3.6348400739e-23   -7.0644335961e-23
  17.2500000000   -3.7854679808e-23   -6.5216395108e-23
  17.5000000000   -3.3228415093e-23   -6.0986964995e-23
  17.7500000000   -2.8861771193e-23   -6.4669710242e-23
  18.0000000000   -3.1078056183e-23   -6.4120943318e-23
  18.2500000000   -3.2156286476e-23   -6.3113077874e-23
  18.5000000000   -3.3003706673e-23   -6.6306284816e-23
  18.7500000000   -3.2119369227e-23   -5.9368985214e-23
  19.0000000000   -2.9890844633e-23   -6.2164564844e-23
  19.2500000000   -2.7639115330e-23   -6.1746800055e-23
  19.5000000000   -3.1140999050e-23   -5.9506660388e-23
  19.7500000000   -2.9573739051e-23   -5.7351239079e-23
  20.0000000000   -2.9142151445e-23   -5.6844516478e-23
  20.2500000000   -2.5885217293e-23   -5.9208194394e-23
  20.5000000000   -2.6251188488e-23   -5.8680755861e-23
  20.7500000000   -2.9347332768e-23   -5.9900992399e-23
