#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    9.7246455270e-23   -2.0949248548e-22
   0.2500000000    1.2272008629e-22   -1.8389063469e-22
   0.5000000000    8.8938366263e-23   -2.0648760812e-22
   0.7500000000    1.1406157909e-22   -2.1936615829e-22
   1.0000000000    1.1487739703e-22   -2.1996497445e-22
   1.2500000000    1.1268456587e-22   -1.8549125552e-22
   1.5000000000    1.2029341258e-22   -2.0802296061e-22
   1.7500000000    1.0123463640e-22   -1.9898362337e-22
   2.0000000000    8.1789924376e-23   -1.9308281461e-22
   2.2500000000    1.1155408753e-22   -1.7970805029e-22
   2.5000000000    8.7399857749e-23   -1.9138600638e-22
   2.7500000000    9.4446304554e-23   -1.8471368641e-22
   3.0000000000    9.9221296131e-23   -2.2349398181e-22
   3.2500000000    9.4389221048e-23   -2.2085194670e-22
   3.5000000000    9.3017121906e-23   -1.9199262908e-22
   3.7500000000    7.1230077148e-23   -1.9148090201e-22
   4.0000000000    8.6048329605e-23   -2.1008173728e-22
   4.2500000000    9.5328907435e-23   -1.8130582642e-22
   4.5000000000    9.4867782650e-23   -1.9250945673e-22
   4.7500000000    7.4714977477e-23   -1.8410583158e-22
   5.0000000000    1.0943737581e-22   -1.7961360497e-22
   5.2500000000    8.5653348751e-23   -1.8703070672e-22
   5.5000000000    9.3212435520e-23   -2.2139461424e-22
   5.7500000000    8.7782348579e-23   -1.8191092568e-22
   6.0000000000    9.0938059899e-23   -1.9110644330e-22
   6.2500000000    9.9109850449e-23   -2.0130658455e-22
   6.5000000000    9.4432725673e-23   -1.9434333665e-22
   6.7500000000    1.1379604948e-22   -1.8384539666e-22
   7.0000000000    9.4626985777e-23   -1.9536127087e-22
   7.2500000000    8.5816189692e-23   -2.1606361946e-22
   7.5000000000    7.4874139724e-23   -1.8306306558e-22
   7.7500000000    8.1771496628e-23   -1.9168591778e-22
   8.0000000000    7.9200917218e-23   -2.0230001252e-22
   8.2500000000    1.0611202273e-22   -1.9217789633e-22
   8.5000000000    1.1218804252e-22   -1.9087461369e-22
   8.7500000000    8.9797720705e-23   -1.9953801773e-22
   9.0000000000    7.9873798425e-23   -2.0302993506e-22
   9.2500000000    8.8706769497e-23   -1.9783600557e-22
   9.5000000000    8.5301185180e-23   -1.6931587525e-22
   9.7500000000    1.0300076109e-22   -1.7090383315e-22
  10.0000000000    7.6677097868e-23   -1.5858283733e-22
  10.2500000000    8.7962899000e-23   -2.1646007267e-22
  10.5000000000    6.1769705550e-23   -2.0681023624e-22
  10.7500000000    8.7659935613e-23   -1.9572123143e-22
  11.0000000000    7.5872449973e-23   -1.9429735975e-22
  11.2500000000    7.4160037963e-23   -1.9406719468e-22
  11.5000000000    7.8109272256e-23   -1.8843009393e-22
  11.7500000000    7.5306301879e-23   -1.8514129814e-22
  12.0000000000    7.4935231673e-23   -1.9822212800e-22
  12.2500000000    8.1695579862e-23   -1.8937483020e-22
  12.5000000000    8.2277399781e-23   -1.8300396514e-22
  12.7500000000    7.2976912195e-23   -1.8203257344e-22
  13.0000000000    8.6785960875e-23   -2.1752415559e-22
  13.2500000000    9.9500918420e-23   -1.8831727822e-22
  13.5000000000    8.1114493360e-23   -1.9976581539e-22
  13.7500000000    9.0089331439e-23   -1.7480282165e-22
  14.0000000000    8.9634327281e-23   -1.8378236903e-22
  14.2500000000    8.3306734660e-23   -1.7357944663e-22
  14.5000000000    9.6701578554e-23   -1.6887805879e-22
  14.7500000000    7.7130906197e-23   -1.7390116773e-22
  15.0000000000    7.8697107386e-23   -1.7996231697e-22
  15.2500000000    7.2316729695e-23   -1.8452423435e-22
  15.5000000000    8.1401420368e-23   -1.9295660123e-22
  15.7500000000    7.6666387367e-23   -1.7564352208e-22
  16.0000000000    8.9739451667e-23   -2.0503064175e-22
  16.2500000000    9.0587508936e-23   -1.6082449198e-22
  16.5000000000    6.9009707703e-23   -1.7199136659e-22
  16.7500000000    8.0605397290e-23   -1.6677340774e-22
  17.0000000000    9.6742156372e-23   -1.9969132538e-22
  17.2500000000    8.5134803501e-23   -1.6442457428e-22
  17.5000000000    9.5221450688e-23   -1.9402968940e-22
  17.7500000000    7.7871902637e-23   -1.6995687165e-22
  18.0000000000    8.0571224787e-23   -1.7734913741e-22
  18.2500000000    7.5644743517e-23   -1.9013957194e-22
  18.5000000000    7.8629416997e-23   -1.6457783566e-22
  18.7500000000    7.7345557325e-23   -1.5403685809e-22
  19.0000000000    8.0012308922e-23   -1.5771668909e-22
  19.2500000000    9.4903322029e-23   -1.6213487295e-22
  19.5000000000    8.6370668662e-23   -1.7926298154e-22
  19.7500000000    7.3662435529e-23   -1.5958773813e-22
  20.0000000000    9.1181512801e-23   -1.6641608802e-22
  20.2500000000    9.5361326133e-23   -1.8080431663e-22
  20.5000000000    8.8389534151e-23   -1.6325336014e-22
  20.7500000000    8.9917705577e-23   -1.8168531252e-22
  21.0000000000    9.2677593622e-23   -1.8419029725e-22
  21.2500000000    7.7525577949e-23   -1.9081763171e-22
  21.5000000000    1.0690952489e-22   -1.6200997295e-22
  21.7500000000    8.5078715909e-23   -1.8304416306e-22
  22.0000000000    9.2999822424e-23   -1.8987128755e-22
  22.2500000000    7.6702378249e-23   -1.6197166549e-22
  22.5000000000    7.7593938054e-23   -1.7015726663e-22
  22.7500000000    1.0403881009e-22   -1.7491046240e-22
  23.0000000000    8.7573476506e-23   -1.7403562983e-22
  23.2500000000    8.6163839607e-23   -1.5562334080e-22
  23.5000000000    7.8404112583e-23   -1.5524896734e-22
  23.7500000000    8.8487861510e-23   -1.6672696606e-22
  24.0000000000    7.8727529462e-23   -1.7553783646e-22
  24.2500000000    9.6965805473e-23   -1.6541771902e-22
  24.5000000000    7.5515251410e-23   -1.5045775199e-22
  24.7500000000    6.6036781421e-23   -1.9032339217e-22
  25.0000000000    5.9846256913e-23   -1.8076872226e-22
  25.2500000000    7.0316939143e-23   -1.8619473512e-22
  25.5000000000    7.3076979866e-23   -1.8366742431e-22
  25.7500000000    8.4019510414e-23   -1.4926062052e-22
  26.0000000000    7.6139241835e-23   -1.5356659883e-22
  26.2500000000    7.9846062728e-23   -1.5501021947e-22
  26.5000000000    8.2825501872e-23   -1.7229969183e-22
  26.7500000000    7.0354961540e-23   -1.7023286698e-22
  27.0000000000    8.2512362791e-23   -1.7931911189e-22
  27.2500000000    7.0885108617e-23   -1.6016924804e-22
  27.5000000000    9.1811402147e-23   -1.5694966205e-22
  27.7500000000    7.2241161006e-23   -1.5078021425e-22
  28.0000000000    7.5260901157e-23   -1.5998326554e-22
  28.2500000000    7.9837192282e-23   -1.6785958545e-22
  28.5000000000    8.3025014836e-23   -1.7116911678e-22
  28.7500000000    8.4743068697e-23   -1.5683155164e-22
  29.0000000000    7.9781436584e-23   -1.8217300714e-22
  29.2500000000    7.3147808241e-23   -1.5880827926e-22
  29.5000000000    7.5205104197e-23   -1.4783295635e-22
  29.7500000000    8.9857321286e-23   -1.5511768681e-22
  30.0000000000    7.8535249657e-23   -1.6921537718e-22
  30.2500000000    7.6155145247e-23   -1.5628246790e-22
  30.5000000000    8.7741471669e-23   -1.6465367957e-22
