#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    1.2299032651e-22   -1.8495114051e-23
   0.2500000000    1.0852150888e-22   -2.2834644014e-23
   0.5000000000    1.2077655221e-22   -2.3523551067e-23
   0.7500000000    1.4730385804e-22    1.5223245923e-23
   1.0000000000    1.0290097740e-22    1.8201418212e-23
   1.2500000000    1.0574722328e-22    1.4591729504e-23
   1.5000000000    1.2769011382e-22   -2.2145968626e-23
   1.7500000000    1.0397195458e-22   -7.7350140467e-23
   2.0000000000    9.8952597525e-23   -2.9793988810e-24
   2.2500000000    1.1593444904e-22    2.2796358252e-24
   2.5000000000    1.3393080731e-22    2.0060394308e-23
   2.7500000000    1.2936209930e-22    5.2001281270e-23
   3.0000000000    1.2712911322e-22    6.8560071447e-24
   3.2500000000    1.1390801687e-22    3.0308728726e-24
   3.5000000000    1.0425294184e-22    5.5844503776e-24
   3.7500000000    1.0469892616e-22   -1.5237593237e-23
   4.0000000000    9.8902895050e-23    1.3462227228e-23
   4.2500000000    1.3400290131e-22    1.1689128054e-23
   4.5000000000    1.3603847710e-22    2.0926708918e-23
   4.7500000000    1.1080920578e-22    6.7715572985e-24
   5.0000000000    1.5659034691e-22    7.4035254777e-24
   5.2500000000    1.1950326671e-22   -3.2186941209e-24
   5.5000000000    1.2233506624e-22    1.9345188278e-23
   5.7500000000    9.9445676061e-23   -2.2104738415e-24
   6.0000000000    1.1294852719e-22    1.4711558986e-23
   6.2500000000    1.3071608565e-22    1.3668891035e-23
   6.5000000000    1.1702373408e-22    1.7354311723e-23
   6.7500000000    1.0574606375e-22    1.3437864181e-23
   7.0000000000    9.6624637718e-23   -4.7365439526e-24
   7.2500000000    1.1594904774e-22    3.8373890468e-23
   7.5000000000    1.3033812371e-22    5.9326688552e-24
   7.7500000000    1.2330481037e-22    3.1806793030e-23
   8.0000000000    1.1029798587e-22   -2.7986141605e-24
   8.2500000000    1.0631947660e-22   -8.5471261059e-24
   8.5000000000    9.5722390357e-23    1.4011640989e-23
   8.7500000000    1.2171982595e-22    2.5332619986e-23
   9.0000000000    1.0990374255e-22    2.0552508581e-23
   9.2500000000    1.0252015021e-22   -3.2240246268e-24
   9.5000000000    1.1918095254e-22    7.1179122330e-24
   9.7500000000    9.4050038168e-23    5.7312890347e-24
  10.0000000000    1.1155485504e-22    4.5452359311e-24
  10.2500000000    1.1922910311e-22    2.3343218620e-23
  10.5000000000    9.7540736714e-23    2.5581236051e-23
  10.7500000000    8.4273033036e-23   -1.4148104685e-23
  11.0000000000    1.0737382000e-22    1.6687412649e-23
  11.2500000000    1.0983488675e-22    2.6577078134e-23
  11.5000000000    1.1442762761e-22    1.0443475384e-23
  11.7500000000    8.3022924472e-23   -1.8792240920e-23
  12.0000000000    1.1694115027e-22    5.8430204990e-24
  12.2500000000    1.1855175540e-22   -9.2450972519e-24
  12.5000000000    1.2273479463e-22    1.7918108625e-23
  12.7500000000    1.1041772615e-22    5.0040714207e-23
  13.0000000000    1.1172455137e-22   -1.3478730543e-23
  13.2500000000    9.2306971118e-23    4.2416294797e-23
  13.5000000000    9.8899542109e-23    3.6144159695e-23
  13.7500000000    1.1244820145e-22   -6.5998765108e-24
  14.0000000000    1.0066644991e-22    9.2091193748e-24
  14.2500000000    1.0040848592e-22    2.8715020056e-23
  14.5000000000    1.1217804416e-22    3.7994383442e-23
  14.7500000000    8.5547218569e-23    2.7660627018e-23
  15.0000000000    1.0120930311e-22    3.2910486282e-24
  15.2500000000    9.7061947123e-23    7.3545574015e-24
