#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    3.0639726024e-22   -8.8886888514e-23
   0.2500000000    2.8126303131e-22   -1.0253733799e-22
   0.5000000000    2.7269102464e-22   -5.6526556266e-23
   0.7500000000    2.9539704521e-22   -1.1849145827e-22
   1.0000000000    2.9245489442e-22   -1.2436078986e-22
   1.2500000000    3.2623875072e-22   -2.4929812294e-23
   1.5000000000    3.0230754628e-22   -1.3455071560e-22
   1.7500000000    2.5211831272e-22   -1.1068568223e-22
   2.0000000000    2.8111391378e-22   -1.3765552190e-22
   2.2500000000    2.6278947725e-22   -7.8960118217e-23
   2.5000000000    2.7012811788e-22   -6.8031873469e-23
   2.7500000000    2.9511713585e-22   -7.4412366064e-23
   3.0000000000    2.9398873699e-22   -7.2430643621e-23
   3.2500000000    3.0352982932e-22   -1.2814373806e-22
   3.5000000000    2.8251909074e-22   -7.4157889499e-23
   3.7500000000    2.4779590055e-22   -6.7891785192e-23
   4.0000000000    3.0232862802e-22   -2.9874748202e-23
   4.2500000000    2.6079323653e-22   -1.2157093548e-22
   4.5000000000    2.5305168043e-22   -4.7374377291e-23
   4.7500000000    2.4825954762e-22   -9.9825962683e-23
   5.0000000000    2.8933684629e-22   -1.3945496467e-22
   5.2500000000    2.5769689481e-22   -1.2715443026e-22
   5.5000000000    2.3678703308e-22   -1.5889461195e-22
   5.7500000000    2.9999022542e-22   -3.2980072860e-23
   6.0000000000    2.4799033020e-22   -5.8482643752e-23
   6.2500000000    2.6665956381e-22   -9.1280998453e-23
   6.5000000000    2.4460644761e-22   -2.1241703573e-23
   6.7500000000    2.6143970242e-22   -1.6865536068e-22
   7.0000000000    2.8341423056e-22   -3.8648758324e-23
   7.2500000000    2.6167095293e-22   -2.0609670305e-23
   7.5000000000    2.8813718553e-22   -3.1828355862e-23
   7.7500000000    2.5253352819e-22   -5.4356985879e-23
   8.0000000000    2.5631149855e-22   -5.6247173890e-23
   8.2500000000    2.4704392203e-22   -9.1326724035e-23
   8.5000000000    2.4476470715e-22   -1.2237935872e-22
   8.7500000000    2.8345175173e-22   -1.1695081639e-22
   9.0000000000    3.1415023589e-22   -5.6620830180e-23
   9.2500000000    2.9114341560e-22   -9.8657034250e-23
   9.5000000000    2.7494675189e-22   -7.6255497050e-23
   9.7500000000    2.6474647339e-22   -9.8546133657e-23
  10.0000000000    2.7905920508e-22   -1.1923563152e-22
  10.2500000000    2.9382221096e-22   -3.3095584782e-23
  10.5000000000    2.7937279309e-22   -1.3195119340e-22
  10.7500000000    2.6527024799e-22   -4.1402597367e-23
  11.0000000000    2.7161027228e-22   -1.1463060845e-22
  11.2500000000    2.1225328541e-22   -2.4857356477e-23
  11.5000000000    2.2975495360e-22   -1.0505854603e-22
  11.7500000000    2.5874347684e-22   -8.4324936352e-23
  12.0000000000    2.7092241464e-22   -5.3943150820e-23
  12.2500000000    2.8244224345e-22   -4.2676425767e-23
  12.5000000000    2.5091039488e-22   -4.1993980320e-23
  12.7500000000    2.5029293969e-22   -1.0339288486e-22
  13.0000000000    2.7015577994e-22   -6.5261567134e-23
  13.2500000000    2.5395105507e-22   -9.7001673579e-23
  13.5000000000    2.7862533383e-22   -9.1976812943e-23
  13.7500000000    2.4423073244e-22   -1.0737449697e-22
  14.0000000000    2.6371232681e-22   -7.6271801346e-23
  14.2500000000    2.5757398059e-22   -8.9297830477e-23
  14.5000000000    2.4570818711e-22   -1.0478894304e-22
  14.7500000000    2.4792545936e-22   -7.6932409111e-23
  15.0000000000    2.1764122037e-22   -8.6929257450e-23
  15.2500000000    2.7157449910e-22   -5.6981454000e-23
  15.5000000000    2.0920022262e-22   -7.2062550234e-23
  15.7500000000    2.3854168621e-22   -1.0418421523e-22
  16.0000000000    2.5398372545e-22   -6.6698468659e-23
  16.2500000000    2.5864016017e-22   -7.3629607614e-23
  16.5000000000    2.6015063260e-22   -1.2813033380e-22
  16.7500000000    2.2411202214e-22   -2.3252304649e-23
  17.0000000000    2.7967676508e-22   -5.5026498692e-23
  17.2500000000    2.5727609167e-22   -1.0542875988e-23
  17.5000000000    2.4140564952e-22   -1.1476320748e-22
  17.7500000000    2.5636521000e-22   -4.1916745626e-23
  18.0000000000    2.3790907264e-22   -6.2834839663e-23
  18.2500000000    1.7540661123e-22   -1.6591416880e-22
  18.5000000000    2.4893500617e-22   -3.1645523435e-23
  18.7500000000    2.5433984577e-22   -4.1685712696e-23
  19.0000000000    2.3033636072e-22   -6.3503057049e-23
  19.2500000000    2.4058568125e-22   -3.6025275302e-23
  19.5000000000    2.1646361429e-22   -4.2215481951e-23
  19.7500000000    2.2961072579e-22   -9.7408297096e-23
  20.0000000000    2.7588351273e-22   -4.3142806610e-24
  20.2500000000    2.3463758123e-22   -1.0107209015e-23
  20.5000000000    2.2193955788e-22   -8.0074474767e-23
  20.7500000000    2.3056567619e-22   -9.7294188301e-23
  21.0000000000    2.1438413799e-22   -5.7584660142e-23
  21.2500000000    2.2084897037e-22   -6.0659023192e-23
  21.5000000000    2.3048010218e-22   -1.1563802371e-22
  21.7500000000    2.2281241767e-22   -2.0789611914e-23
  22.0000000000    2.2884091524e-22   -5.4905784837e-23
  22.2500000000    2.2334775108e-22   -7.7013604358e-23
  22.5000000000    2.4421464952e-22   -8.4596580301e-23
  22.7500000000    2.0468371966e-22   -9.4310289860e-23
  23.0000000000    2.6039081213e-22   -1.7716362631e-23
  23.2500000000    2.2255964143e-22   -7.9583907821e-24
  23.5000000000    2.2585726088e-22   -2.5752349248e-23
  23.7500000000    2.1664377193e-22   -8.7954087942e-23
  24.0000000000    2.1019982963e-22   -7.9653405809e-23
  24.2500000000    2.1984463955e-22   -5.7430313761e-23
  24.5000000000    2.2234845486e-22   -9.0158363058e-23
  24.7500000000    2.1197064631e-22   -7.8243718092e-23
  25.0000000000    1.9875209934e-22   -8.6265792840e-23
  25.2500000000    1.9312478055e-22   -5.3671120792e-23
  25.5000000000    2.4389368401e-22   -4.1079237003e-23
  25.7500000000    2.0870702137e-22    9.7490589718e-24
  26.0000000000    2.0512464585e-22   -6.0552513265e-23
  26.2500000000    2.2805074750e-22   -7.7410157979e-23
  26.5000000000    2.1936972095e-22   -7.4778957847e-23
  26.7500000000    1.9813023071e-22   -1.0063841889e-22
  27.0000000000    1.9729477875e-22   -5.1523630887e-23
  27.2500000000    2.2965145508e-22   -9.9670528825e-23
  27.5000000000    2.3088827243e-22   -4.2866305167e-23
  27.7500000000    1.9784165763e-22   -5.1321097662e-23
  28.0000000000    1.7652096833e-22   -9.1773860439e-23
  28.2500000000    2.2084074943e-22   -6.3973487702e-23
  28.5000000000    2.2744462649e-22   -5.6733051914e-23
  28.7500000000    2.2489200319e-22   -7.5693061715e-23
  29.0000000000    2.0081105602e-22   -8.5304207659e-23
  29.2500000000    2.3946522332e-22    6.0487349997e-24
  29.5000000000    2.2355824072e-22   -4.1798362229e-23
  29.7500000000    2.0222433899e-22   -8.6515232802e-23
  30.0000000000    2.2107047776e-22   -4.8574761770e-23
  30.2500000000    2.2547450115e-22   -7.7798466722e-23
  30.5000000000    1.7463988511e-22   -5.5877255217e-23
  30.7500000000    2.1567347069e-22   -1.2637113507e-22
  31.0000000000    2.3653789804e-22   -9.4256833208e-23
  31.2500000000    2.3646535361e-22   -2.0698656291e-23
  31.5000000000    1.9299929709e-22   -7.1971124578e-23
  31.7500000000    2.1394700670e-22   -8.1873821140e-23
  32.0000000000    2.2431865927e-22   -5.8931350578e-23
  32.2500000000    2.0771773998e-22   -6.4964483641e-23
  32.5000000000    2.1376449704e-22   -4.2872527284e-23
  32.7500000000    1.7233776604e-22   -7.7114428435e-23
  33.0000000000    2.1500223300e-22   -8.3401009402e-23
  33.2500000000    2.2646641250e-22   -3.2857611874e-23
  33.5000000000    1.8185750864e-22   -4.3393233976e-23
  33.7500000000    2.1125665963e-22   -5.1844023089e-23
  34.0000000000    2.3848148066e-22   -7.0802604127e-23
  34.2500000000    2.3287664221e-22   -7.1824437592e-23
  34.5000000000    1.7219143158e-22   -6.6437212436e-23
  34.7500000000    2.0071566249e-22   -1.1163251439e-22
  35.0000000000    2.1082624278e-22   -5.9312113725e-23
  35.2500000000    1.7610989212e-22   -6.7515769560e-23
  35.5000000000    2.0262969772e-22   -5.8542895264e-23
  35.7500000000    2.0166701953e-22   -5.0491265951e-23
  36.0000000000    1.9693661662e-22   -3.1748976340e-23
  36.2500000000    1.9053216097e-22   -2.8329679756e-23
  36.5000000000    1.5280749921e-22   -6.2099863403e-23
  36.7500000000    1.9853009883e-22   -8.3223177100e-23
  37.0000000000    1.6893686340e-22   -8.2958486336e-23
  37.2500000000    2.0386133497e-22   -4.3908256701e-23
  37.5000000000    1.7937677888e-22   -5.0697883771e-23
  37.7500000000    2.1380584347e-22   -7.8826135269e-23
  38.0000000000    1.6590898452e-22   -4.4325908955e-23
  38.2500000000    2.0411578017e-22   -3.6863227219e-23
  38.5000000000    1.8260893024e-22   -5.0458876917e-23
  38.7500000000    1.8137823939e-22   -6.9065159110e-23
  39.0000000000    2.1170075345e-22   -2.2539248141e-23
  39.2500000000    1.7614693233e-22   -5.4469564444e-23
  39.5000000000    1.9601554323e-22   -5.0522971858e-23
  39.7500000000    1.9367846769e-22   -2.4155427260e-23
  40.0000000000    1.9213088120e-22   -8.2445700188e-23
  40.2500000000    1.7111505013e-22   -3.1730555388e-23
  40.5000000000    1.8518620208e-22   -3.9251073479e-23
  40.7500000000    1.6781044156e-22   -7.6007778970e-23
  41.0000000000    1.8678084865e-22   -4.5437668930e-23
  41.2500000000    1.8367668302e-22   -1.0246813806e-22
  41.5000000000    1.8707497590e-22   -1.1176038044e-22
  41.7500000000    1.7562490082e-22   -1.0042040279e-22
  42.0000000000    1.9034736862e-22   -8.2188031891e-23
  42.2500000000    2.0944689992e-22   -4.5615137753e-23
  42.5000000000    1.7748693458e-22   -6.2116471388e-23
  42.7500000000    1.8339152012e-22   -5.5356650664e-23
  43.0000000000    1.5743675105e-22   -4.6133276733e-23
  43.2500000000    1.7955003001e-22    1.5861758294e-26
  43.5000000000    1.6855329957e-22   -9.7546540403e-23
  43.7500000000    1.8601740076e-22   -5.4864533013e-23
  44.0000000000    1.8084166618e-22   -8.2107756719e-23
  44.2500000000    1.7623131808e-22   -4.7259876631e-23
  44.5000000000    1.7208228819e-22   -4.8738688563e-23
  44.7500000000    1.8430751234e-22   -2.9160338538e-23
  45.0000000000    1.6757280057e-22   -4.1326900552e-23
  45.2500000000    1.8414273847e-22   -4.0548901347e-23
  45.5000000000    1.9545452091e-22   -3.6054501844e-23
  45.7500000000    1.6861190471e-22   -8.9596328154e-23
  46.0000000000    1.8227586796e-22   -5.6113094116e-23
  46.2500000000    1.7769266503e-22   -4.4551314539e-23
  46.5000000000    1.7135893128e-22   -7.7597788409e-23
  46.7500000000    1.3414936963e-22   -2.3998046925e-23
  47.0000000000    1.4927368747e-22   -5.7033924678e-23
  47.2500000000    1.4502752047e-22   -8.9305413801e-23
  47.5000000000    1.5715751508e-22   -6.5798826638e-23
  47.7500000000    1.6299555108e-22   -3.4480216994e-23
  48.0000000000    1.5257378366e-22   -5.7754040549e-23
  48.2500000000    1.7112904911e-22   -4.2082747494e-23
  48.5000000000    1.7884300841e-22   -5.3937777853e-23
  48.7500000000    1.7714883779e-22   -5.0015411807e-23
  49.0000000000    1.8691383471e-22   -7.1578120924e-23
  49.2500000000    1.8423428887e-22   -2.0080401130e-23
  49.5000000000    1.6429288983e-22   -5.0601964702e-23
  49.7500000000    1.4307145151e-22   -4.0453654628e-23
  50.0000000000    1.9161875887e-22   -4.3368131553e-23
  50.2500000000    1.6867316935e-22   -5.7351782331e-23
  50.5000000000    1.5130834690e-22   -3.1205654772e-23
  50.7500000000    1.4569329491e-22   -6.5335838128e-23
  51.0000000000    1.6610771262e-22   -2.2746764025e-23
  51.2500000000    1.4877705559e-22   -9.9400019733e-24
  51.5000000000    1.2987791713e-22   -2.8235473214e-23
  51.7500000000    1.5661667190e-22   -6.1934703526e-23
  52.0000000000    1.5932698282e-22   -7.1998352129e-23
  52.2500000000    1.5609648895e-22   -7.1662830441e-23
  52.5000000000    1.7919420845e-22   -3.5584755454e-23
  52.7500000000    1.6663722782e-22   -6.9023734707e-23
  53.0000000000    1.3913859332e-22   -3.4230134445e-23
  53.2500000000    1.6581319343e-22   -5.0231656783e-23
  53.5000000000    1.5085694408e-22   -3.8042154175e-23
  53.7500000000    1.7518056663e-22   -6.7497314047e-23
