#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    6.6735615161e-23   -9.0429770708e-23
   0.2500000000    8.2263542586e-23   -2.1255316903e-23
   0.5000000000    1.3672446533e-22    3.1004623525e-23
   0.7500000000    9.7444378183e-23   -1.7233879823e-23
   1.0000000000    4.7163151526e-23    3.2072396623e-23
   1.2500000000    1.3240512936e-22   -5.8519649709e-23
   1.5000000000    4.8418623607e-23    1.8153190339e-23
   1.7500000000    1.3546965479e-22    9.0694615767e-23
   2.0000000000    6.5640705767e-23    5.3771040177e-23
   2.2500000000    7.4353420289e-23   -1.2855810796e-24
   2.5000000000    7.9446844437e-23    6.9494986162e-23
   2.7500000000    7.2593678575e-23    9.3916600274e-23
   3.0000000000    8.3217952892e-23    1.4762186952e-23
   3.2500000000    6.1629504415e-23   -3.5751543941e-23
   3.5000000000    1.3787710640e-22    5.7964441948e-23
   3.7500000000    1.1474529344e-22   -4.6880292114e-24
   4.0000000000    1.7125086304e-22    5.3013558039e-23
   4.2500000000    8.9959174236e-23   -2.7275295101e-23
   4.5000000000    7.7342793061e-23   -4.4059895743e-24
   4.7500000000    8.6686060876e-23    4.7980499323e-23
   5.0000000000    7.3996238817e-23   -4.4000248875e-23
   5.2500000000    1.3497090672e-22    4.6351086631e-23
   5.5000000000    7.3756996152e-23    6.5317591091e-23
   5.7500000000    9.7460698362e-23    2.0868943117e-23
   6.0000000000    6.9259984596e-23    5.3846894206e-23
   6.2500000000    5.5275786348e-23   -6.7735767948e-23
   6.5000000000    4.6349312909e-23    5.0468761914e-23
   6.7500000000    1.1976211652e-22    8.8112648308e-23
   7.0000000000    5.7825800777e-23   -2.3428413091e-23
   7.2500000000    3.8702031367e-23   -3.1109170435e-23
   7.5000000000    7.4526045568e-23   -1.2032290104e-23
   7.7500000000    8.2523366346e-23    2.6918217087e-23
   8.0000000000    7.6196139625e-23    4.7271979192e-23
   8.2500000000    1.2674420844e-22    8.7591528176e-23
   8.5000000000    5.4809902701e-23    4.0994051690e-23
   8.7500000000    4.5929419861e-23    1.0786720860e-22
   9.0000000000    4.6711832084e-23    6.1292562067e-25
   9.2500000000    5.2177186512e-23   -2.3969008057e-23
   9.5000000000    9.5351066743e-23    1.1355609000e-23
   9.7500000000    5.3283689346e-23    2.4278616350e-23
  10.0000000000    8.7861459491e-23    7.0393875887e-23
  10.2500000000    9.0513837293e-23    2.5429491837e-23
  10.5000000000    1.0919590645e-22   -5.0248948879e-25
  10.7500000000    5.0935373104e-23   -8.8614180376e-23
  11.0000000000    7.6328438026e-23    1.1045004261e-22
  11.2500000000    6.9426608802e-23   -5.3032724506e-23
  11.5000000000    6.1350691423e-23    2.8140259300e-23
  11.7500000000    9.0431526852e-23    9.3575433112e-23
  12.0000000000    3.3335760353e-23    2.7541946974e-23
  12.2500000000    1.0520143451e-22    4.3322135372e-23
  12.5000000000    5.8692173497e-24    2.8006234392e-24
  12.7500000000    9.0507844292e-23    3.2383495562e-23
  13.0000000000    6.1329816756e-23   -1.8762895589e-24
  13.2500000000    7.6680787115e-23    4.6457125666e-23
  13.5000000000    5.0676568375e-23   -6.1094874340e-23
  13.7500000000    4.5570491435e-23    4.8028412082e-23
  14.0000000000    8.8760479095e-23   -4.7769322031e-23
  14.2500000000    6.1125778677e-23    4.9404836320e-23
  14.5000000000    1.2587212304e-22    4.9811639048e-23
  14.7500000000    5.9485374888e-23    6.6893434380e-23
  15.0000000000    8.2341055600e-23   -5.0362732111e-23
  15.2500000000    6.2748933955e-23    7.0833082806e-23
  15.5000000000    8.6541268910e-23    2.6100493910e-23
  15.7500000000    1.0603622544e-22    2.6106551052e-23
  16.0000000000    8.4563807242e-23    3.4766007932e-23
  16.2500000000    6.9013319371e-23   -5.2435501622e-23
  16.5000000000    5.9155642677e-23    5.4898071858e-23
  16.7500000000    8.1455785511e-23   -2.3085462009e-23
  17.0000000000    1.0905206735e-22   -4.0739651856e-23
  17.2500000000    6.8244749937e-23   -1.1370028784e-23
  17.5000000000    4.4980955233e-23    9.0530600771e-23
  17.7500000000    1.1526675090e-22   -1.7199862494e-23
  18.0000000000    6.9947989232e-23   -3.0843333139e-23
  18.2500000000    9.2057669057e-23    2.8062436729e-23
  18.5000000000    5.1818755202e-23    5.7099219856e-24
  18.7500000000    5.1456462281e-23   -1.3008367737e-23
  19.0000000000    5.1429184706e-23    3.3043576825e-24
  19.2500000000    6.7456796760e-23    4.8771258339e-23
  19.5000000000    1.0057338434e-22    4.2122079535e-24
  19.7500000000    8.3360594541e-23    9.4594219075e-24
  20.0000000000    1.1807798416e-22    1.1427974567e-23
  20.2500000000    5.9037050584e-23    6.7273474342e-23
  20.5000000000    8.1187669235e-23    2.3256264602e-23
  20.7500000000    3.1162589596e-23    3.1613627625e-23
  21.0000000000    6.2874236258e-23    7.3920091278e-23
  21.2500000000    8.4773319935e-23    1.1530655367e-23
  21.5000000000    6.4811512909e-23   -1.2960276709e-23
  21.7500000000    6.4369884169e-23    7.2514170479e-23
  22.0000000000    4.2227588668e-23    6.9388127268e-23
  22.2500000000    3.1104189224e-23   -9.8150417783e-24
  22.5000000000    6.2267215801e-23    4.1828465341e-23
  22.7500000000    2.7278492583e-23    4.2033576339e-25
  23.0000000000    6.1808025442e-23    2.8857795811e-23
  23.2500000000    2.6952162443e-23   -2.3626226173e-23
  23.5000000000    7.8278015015e-23   -1.5057294153e-23
  23.7500000000    2.9206817630e-23    5.4156473889e-23
  24.0000000000    7.0899762659e-23    7.9590537483e-25
  24.2500000000    2.9215427841e-23    7.5739221296e-23
  24.5000000000    4.9548925329e-23   -2.8855692348e-23
  24.7500000000    7.4841511486e-23    7.0023949255e-23
  25.0000000000    1.0730433411e-22    3.8879783619e-23
  25.2500000000    7.0529695445e-23    1.4207897425e-23
  25.5000000000    8.5706871849e-23    7.8010897916e-24
  25.7500000000    4.9851152208e-23   -6.4787800588e-26
  26.0000000000   -1.2220726950e-23   -8.8292782837e-24
  26.2500000000    6.5739430274e-23    3.4989057231e-23
  26.5000000000    7.3108451150e-23    2.9718824146e-23
  26.7500000000    3.7263459113e-23    2.2290410449e-23
  27.0000000000    4.8932117691e-23   -6.2584573800e-23
  27.2500000000    4.7183250690e-23   -2.3515403375e-24
  27.5000000000    6.5473777589e-23   -2.8125758704e-23
  27.7500000000    3.8526524485e-23    3.0368175199e-23
  28.0000000000    3.1811628256e-23   -2.7733350892e-23
  28.2500000000    2.1066063145e-23    1.2123514762e-23
  28.5000000000    3.5831776258e-23   -7.5856806172e-23
  28.7500000000    7.3251711957e-23    1.5378838911e-23
  29.0000000000    6.3042081254e-23   -8.4978616251e-24
  29.2500000000    6.5104743824e-23   -6.5857906548e-24
  29.5000000000    5.0502000740e-23    5.1172252731e-23
  29.7500000000    5.5449190767e-23    2.3164364100e-23
  30.0000000000    3.0157024636e-23   -2.2137127235e-23
  30.2500000000    5.3057896288e-23    6.0211539380e-23
  30.5000000000    4.1659244538e-23   -8.2192226938e-24
  30.7500000000    7.3339946146e-23   -6.0498925567e-24
  31.0000000000    2.7780483591e-23    5.8833244583e-23
  31.2500000000    5.6349939261e-23    3.3556437589e-23
  31.5000000000    9.8133292252e-23    4.9501025743e-24
  31.7500000000    6.3598350690e-23   -5.4147309455e-25
  32.0000000000    5.8029695230e-23    1.5135955535e-23
  32.2500000000    7.1687982237e-23   -4.9658086337e-23
  32.5000000000   -5.7105495049e-24    4.1042962047e-23
  32.7500000000    7.3171999490e-23   -1.4840326165e-23
  33.0000000000   -6.3449124371e-24    2.6800423533e-23
  33.2500000000    2.1577820151e-23    1.2825477909e-23
  33.5000000000    3.4174377231e-23    2.1205759107e-23
  33.7500000000    3.4318984581e-23    6.2167454656e-23
  34.0000000000    1.6129584028e-23   -4.2650891498e-23
  34.2500000000    5.8198011338e-23    5.8229455514e-23
  34.5000000000    4.5885341177e-23    2.1257184416e-23
  34.7500000000    4.2934103527e-23    9.4878817111e-24
  35.0000000000    1.9046071013e-23    3.6248748991e-23
